formatted_date,IBM,RR.L,EBAY,INTC,NKE
3/8/16,137.3034668,705.8932495,30.35026932,31.30643845,52.38379669
4/8/16,138.0554962,712.0027466,30.4581356,31.60808182,52.42207336
5/8/16,139.7219238,713.4126587,30.78174019,31.97369957,53.43626022
8/8/16,139.6701965,711.0628052,30.54639053,32.02854919,53.56063461
9/8/16,139.4374847,717.642334,30.50716782,31.91886139,53.35971832
10/8/16,139.7046661,749.1303711,30.51697159,31.56237602,52.7473793
11/8/16,140.9545135,751.0101318,30.59542465,31.69948196,54.27822495
12/8/16,139.5926208,751.4801025,30.29143143,31.5989399,54.01032257
15/8/16,139.5322876,748.1904297,30.44832802,31.90972328,54.31650162
16/8/16,138.5151825,740.6708984,30.23259354,32.18393326,54.42174911
17/8/16,138.2910767,735.5011597,30.01685524,32.01026154,54.40261841
18/8/16,139.0841064,741.6108398,29.92860031,31.96456528,54.73748779
19/8/16,137.9462891,744.430603,30.03646851,32.21136093,56.3544426
22/8/16,137.9118347,737.3811035,30.02666092,32.32104492,56.12482071
23/8/16,138.1359406,746.3104858,30.07569313,32.3576088,57.04333115
24/8/16,137.0929871,741.1407471,30.64445496,32.12909698,57.61739731
25/8/16,136.730957,727.5117188,30.73270798,32.07425308,56.67974854
26/8/16,136.4637604,737.3811035,30.70329094,32.22964096,56.45012283
29/8/16,137.6704712,,30.79154587,32.49470901,56.0961113
30/8/16,137.3946533,721.4020996,31.15437698,32.63182449,55.49333954
31/8/16,136.9464264,723.7519531,31.53682137,32.8054924,55.14889908
1/9/16,137.5153503,714.3525391,31.50740433,32.92432022,56.165905
2/9/16,137.5239563,736.44104,31.65449524,32.97916794,55.66699982
6/9/16,138.213501,727.5117188,31.7819767,33.42705917,55.08174133
7/9/16,139.3254395,720.9321289,31.88003731,33.32649994,55.37916183
8/9/16,137.0498657,704.9532471,32.06635666,33.30821609,53.89201736
9/9/16,134.1968384,681.9248047,31.27205086,32.39416504,53.08609009
12/9/16,136.4378815,674.8752441,31.86042786,32.97916794,53.73851013
13/9/16,134.3002625,676.2850952,31.29166412,32.54956055,53.12446976
14/9/16,132.7832336,682.3946533,31.18379593,32.55869675,52.89420319
15/9/16,134.17099,685.6844482,31.36030769,33.4179039,53.22040939
16/9/16,132.6022339,683.8046265,31.15437698,34.43251038,52.942173
19/9/16,133.4900513,695.0839233,30.95825195,33.96634674,52.72151184
20/9/16,133.1279907,688.9741821,30.75232124,33.94806671,52.64474487
21/9/16,134.0589294,682.3946533,31.35050201,34.23142242,53.09568787
22/9/16,134.5588379,688.9741821,31.65449524,34.32282639,53.16285324
23/9/16,133.5848541,679.1049194,31.44856453,33.99375916,52.91339493
26/9/16,132.7229004,669.2355957,31.05631447,33.50017548,52.19380951
27/9/16,135.1277466,668.2956543,31.32108498,33.98462677,53.09568787
